task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
165	d1/3e6b84	5843768	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR27320658)	COMPLETED	0	2026-03-23 14:38:06.218	1m 25s	22s	90.2%	6.6 MB	220.9 MB	1.7 GB	6.9 KB
162	e3/5fd2d3	5843762	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR27320659)	COMPLETED	0	2026-03-23 14:38:06.107	1m 25s	20s	92.5%	6.6 MB	220.9 MB	1.5 GB	6.9 KB
166	85/bb2d54	5843770	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR17866821)	COMPLETED	0	2026-03-23 14:38:06.253	1m 25s	20s	94.5%	6.5 MB	220.9 MB	1.5 GB	6.9 KB
167	e1/f0c6a2	5843771	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR17866819)	COMPLETED	0	2026-03-23 14:38:06.271	1m 25s	21s	94.8%	6.5 MB	220.9 MB	1.5 GB	6.9 KB
168	df/7d5052	5843772	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR27320656)	COMPLETED	0	2026-03-23 14:38:06.291	1m 25s	22s	95.2%	6.5 MB	220.9 MB	1.7 GB	6.9 KB
160	16/26862c	5843765	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR17866818)	COMPLETED	0	2026-03-23 14:38:06.164	1m 30s	28s	49.8%	6.6 MB	220.9 MB	1.1 GB	6.9 KB
164	af/ddf54f	5843769	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR17866820)	COMPLETED	0	2026-03-23 14:38:06.236	1m 30s	25s	94.8%	6.5 MB	220.9 MB	1.7 GB	6.9 KB
163	b8/c4b974	5843767	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR17866817)	COMPLETED	0	2026-03-23 14:38:06.201	1m 35s	29s	66.9%	6.5 MB	220.9 MB	1.5 GB	6.9 KB
170	93/72e059	5843773	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR27320657)	COMPLETED	0	2026-03-23 14:38:06.311	1m 35s	29s	97.4%	6.5 MB	220.9 MB	2.3 GB	6.9 KB
124	35/e1ef1c	5843707	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_STAR (SRR27320658)	COMPLETED	0	2026-03-23 14:31:06.241	8m 45s	8m 10s	448.4%	15.3 GB	16.9 GB	13.3 GB	27.9 MB
128	93/8ccf72	5843711	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_STAR (SRR17866819)	COMPLETED	0	2026-03-23 14:32:16.563	7m 54s	7m 18s	471.0%	17.3 GB	19.5 GB	14.7 GB	27.9 MB
179	7c/a791bb	5843781	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR27320658)	COMPLETED	0	2026-03-23 14:38:06.484	2m 15s	0ms	15.4%	4.7 MB	12 MB	3 MB	10.5 KB
184	f6/77a19b	5843782	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR27320657)	COMPLETED	0	2026-03-23 14:38:06.506	2m 15s	0ms	23.4%	3 MB	5.4 MB	3 MB	10.5 KB
183	25/4a93a9	5843783	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR27320656)	COMPLETED	0	2026-03-23 14:38:06.525	2m 15s	0ms	15.0%	4.6 MB	12 MB	2.8 MB	10.5 KB
182	6a/422bc8	5843784	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR17866819)	COMPLETED	0	2026-03-23 14:38:06.544	2m 15s	0ms	10.2%	4.6 MB	12 MB	2.9 MB	10.5 KB
139	b9/3c72c4	5843728	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_STAR (SRR27320656)	COMPLETED	0	2026-03-23 14:33:51.635	7m 4s	6m 46s	451.5%	16.4 GB	19.5 GB	15.4 GB	27.9 MB
152	18/6fe680	5843790	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR27320655)	COMPLETED	0	2026-03-23 14:38:06.662	3m 4s	46s	97.7%	8 MB	222.4 MB	1.2 GB	225.1 KB
153	a2/cb850b	5843792	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR27320660)	COMPLETED	0	2026-03-23 14:38:06.698	3m 4s	46s	97.9%	8 MB	222.4 MB	1.2 GB	225.4 KB
155	ce/0b6f8b	5843793	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR17866818)	COMPLETED	0	2026-03-23 14:38:06.715	3m 4s	46s	97.9%	8.1 MB	222.4 MB	1.1 GB	224.9 KB
156	8b/958917	5843787	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR17866822)	COMPLETED	0	2026-03-23 14:38:06.608	3m 9s	51s	98.3%	7.6 MB	222.4 MB	1.2 GB	225.1 KB
171	e1/880fb3	5843786	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR27320659)	COMPLETED	0	2026-03-23 14:38:06.582	3m 14s	57s	98.3%	8 MB	222.4 MB	1.5 GB	224.8 KB
172	4c/3fd1a3	5843785	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR17866817)	COMPLETED	0	2026-03-23 14:38:06.564	3m 14s	1m	98.4%	8.2 MB	222.4 MB	1.5 GB	226.6 KB
181	62/2263a7	5843794	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR17866821)	COMPLETED	0	2026-03-23 14:38:06.732	3m 14s	58s	98.1%	7.6 MB	222.4 MB	1.5 GB	227.3 KB
174	7c/a4348a	5843788	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR27320658)	COMPLETED	0	2026-03-23 14:38:06.627	3m 19s	1m 2s	98.3%	8.2 MB	222.4 MB	1.7 GB	226.5 KB
185	28/e6def4	5843789	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR17866819)	COMPLETED	0	2026-03-23 14:38:06.644	3m 19s	1m 2s	98.0%	8.2 MB	222.4 MB	1.5 GB	226.3 KB
173	b2/a6657b	5843791	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR17866820)	COMPLETED	0	2026-03-23 14:38:06.679	3m 24s	1m 7s	98.2%	8 MB	222.4 MB	1.7 GB	226.3 KB
186	59/e5f444	5843795	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR27320656)	COMPLETED	0	2026-03-23 14:38:06.751	3m 24s	1m 6s	98.2%	8.1 MB	222.4 MB	1.7 GB	228.1 KB
187	88/0f140d	5843796	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR27320657)	COMPLETED	0	2026-03-23 14:38:06.769	3m 44s	1m 29s	98.1%	8 MB	222.4 MB	2.3 GB	228.5 KB
144	f5/18c226	5843737	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_STAR (SRR27320657)	COMPLETED	0	2026-03-23 14:36:16.112	7m 20s	6m 52s	454.6%	13.3 GB	14.9 GB	16.5 GB	27.9 MB
151	12/10a8f1	5843799	NFCORE_RNASPLICE:RNASPLICE:RMATS:RMATS_PREP (tumor_eocrc-normal_eocrc)	COMPLETED	0	2026-03-23 14:39:20.282	4m 56s	3m 53s	401.9%	1.6 GB	1.8 GB	11.7 GB	268.8 MB
91	6a/331172	5843615	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR27320655)	COMPLETED	0	2026-03-23 14:18:43.852	26m 22s	26m 13s	99.3%	777.5 MB	1.7 GB	1.6 GB	35.8 MB
150	1d/2323ff	5843798	NFCORE_RNASPLICE:RNASPLICE:RMATS:RMATS_PREP (tumor_locrc-normal_locrc)	COMPLETED	0	2026-03-23 14:39:20.264	5m 51s	4m 48s	344.3%	1.7 GB	1.8 GB	12.8 GB	291.4 MB
188	86/c39ac9	5843797	NFCORE_RNASPLICE:RNASPLICE:EDGER_DEU:EDGER_EXON (samplesheet_few_samples.csv)	COMPLETED	0	2026-03-23 14:39:19.281	6m 47s	5m 44s	97.5%	1.7 GB	1.8 GB	672.5 MB	411.2 MB
97	2d/630e0b	5843620	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR27320660)	COMPLETED	0	2026-03-23 14:19:46.130	26m 25s	25m 57s	99.7%	670.3 MB	1.6 GB	1.5 GB	35.8 MB
189	ce/36489f	5843825	NFCORE_RNASPLICE:RNASPLICE:TX2GENE_TXIMPORT_STAR_SALMON:TXIMPORT (gencode.v49.primary_assembly.annotation.tx2gene.tsv)	COMPLETED	0	2026-03-23 14:43:36.061	3m 35s	3m 2s	83.0%	1.5 GB	2.3 GB	1.3 GB	622.6 MB
99	a4/912599	5843621	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR17866818)	COMPLETED	0	2026-03-23 14:19:48.950	27m 47s	27m 22s	99.7%	849.6 MB	1.8 GB	1.5 GB	35.8 MB
193	48/4e4fdd	5844107	NFCORE_RNASPLICE:RNASPLICE:SUPPA_STAR_SALMON:SPLIT_FILES_TPM (suppa_tpm.txt)	COMPLETED	0	2026-03-23 14:47:11.682	49.3s	13s	75.0%	232.6 MB	344.1 MB	38.2 MB	55.9 MB
192	82/f1e110	5844108	NFCORE_RNASPLICE:RNASPLICE:DRIMSEQ_DEXSEQ_DTU_STAR_SALMON:DRIMSEQ_FILTER (1)	COMPLETED	0	2026-03-23 14:47:12.323	1m 19s	40s	50.6%	772.8 MB	1.6 GB	119.2 MB	14.1 MB
194	55/e88027	5844109	NFCORE_RNASPLICE:RNASPLICE:SUPPA_STAR_SALMON:PSIPEREVENT (suppa_tpm.txt)	COMPLETED	0	2026-03-23 14:47:12.410	2m 9s	1m 33s	75.9%	2.8 GB	3.2 GB	372.4 MB	192.8 MB
195	13/981b1d	5844106	NFCORE_RNASPLICE:RNASPLICE:SUPPA_STAR_SALMON:PSIPERISOFORM (suppa_tpm.txt)	COMPLETED	0	2026-03-23 14:47:11.197	2m 45s	2m 7s	83.3%	3.1 GB	3.4 GB	3.2 GB	60.4 MB
197	33/e644df	5844163	NFCORE_RNASPLICE:RNASPLICE:SUPPA_STAR_SALMON:SPLIT_FILES_IOE (suppa_local.psi)	COMPLETED	0	2026-03-23 14:49:21.326	34.7s	28s	95.8%	660.9 MB	762.5 MB	201.3 MB	534.7 MB
198	2b/160f4a	5844169	NFCORE_RNASPLICE:RNASPLICE:SUPPA_STAR_SALMON:SPLIT_FILES_IOI (suppa_isoform.psi)	COMPLETED	0	2026-03-23 14:49:56.060	30s	10s	97.8%	296.5 MB	397.8 MB	68.9 MB	104.1 MB
105	68/29f48d	5843630	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR17866822)	COMPLETED	0	2026-03-23 14:20:56.658	31m 49s	31m 15s	99.7%	1 GB	2 GB	1.6 GB	35.8 MB
108	32/99122a	5843634	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR27320659)	COMPLETED	0	2026-03-23 14:21:21.037	32m 50s	32m 41s	99.8%	814 MB	1.8 GB	1.9 GB	35.8 MB
114	a6/802e26	5843646	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR17866817)	COMPLETED	0	2026-03-23 14:22:54.562	38m 16s	37m 7s	99.0%	813 MB	1.8 GB	1.8 GB	35.9 MB
196	6d/3aafc4	5844126	NFCORE_RNASPLICE:RNASPLICE:DRIMSEQ_DEXSEQ_DTU_STAR_SALMON:DEXSEQ_DTU (1)	COMPLETED	0	2026-03-23 14:48:31.058	15m 45s	15m 16s	139.6%	1.4 GB	3.2 GB	101.3 MB	167.4 MB
118	0a/7c68ef	5843650	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR17866820)	COMPLETED	0	2026-03-23 14:23:16.018	41m 35s	40m 48s	99.7%	926.1 MB	1.9 GB	2 GB	35.8 MB
203	2a/8f9782	5844627	NFCORE_RNASPLICE:RNASPLICE:DRIMSEQ_DEXSEQ_DTU_STAR_SALMON:STAGER (1)	COMPLETED	0	2026-03-23 15:04:16.290	1m 10s	16s	63.5%	519.5 MB	870.1 MB	65.1 MB	4.3 MB
204	1e/e4db2c	5844626	NFCORE_RNASPLICE:RNASPLICE:DRIMSEQ_DEXSEQ_DTU_STAR_SALMON:STAGER (2)	COMPLETED	0	2026-03-23 15:04:16.115	1m 10s	17s	65.5%	490.2 MB	843.3 MB	65.7 MB	4.6 MB
131	50/d4b782	5843716	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR27320658)	COMPLETED	0	2026-03-23 14:32:45.674	35m 45s	35m 35s	99.4%	918 MB	1.9 GB	2 GB	35.9 MB
133	38/cee736	5843719	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR17866821)	COMPLETED	0	2026-03-23 14:32:46.117	36m 5s	35m 57s	99.5%	775.5 MB	1.7 GB	1.8 GB	35.8 MB
137	42/4e139c	5843721	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR17866819)	COMPLETED	0	2026-03-23 14:33:01.483	37m 35s	36m 26s	99.7%	636.9 MB	1.6 GB	1.9 GB	35.8 MB
141	02/c60438	5843732	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR27320656)	COMPLETED	0	2026-03-23 14:35:01.125	38m 30s	38m 3s	99.7%	705.4 MB	1.7 GB	2.1 GB	35.9 MB
202	7f/e666ec	5844208	NFCORE_RNASPLICE:RNASPLICE:SUPPA_STAR_SALMON:DIFFSPLICE_IOI (tumor_locrc-normal_locrc)	COMPLETED	0	2026-03-23 14:50:26.165	37m 40s	36m 35s	99.2%	3.2 GB	3.5 GB	620.8 MB	118.5 MB
205	80/26ce4c	5844981	NFCORE_RNASPLICE:RNASPLICE:SUPPA_STAR_SALMON:CLUSTERGROUPS_IOI (tumor_locrc-normal_locrc)	COMPLETED	0	2026-03-23 15:28:06.127	15s	0ms	41.9%	3.1 MB	5.4 MB	1.4 MB	1.3 KB
201	ba/3a3b75	5844209	NFCORE_RNASPLICE:RNASPLICE:SUPPA_STAR_SALMON:DIFFSPLICE_IOI (tumor_eocrc-normal_eocrc)	COMPLETED	0	2026-03-23 14:50:26.381	38m	36m 55s	99.4%	3.2 GB	3.5 GB	619.8 MB	118.4 MB
207	76/1b2652	5845000	NFCORE_RNASPLICE:RNASPLICE:SUPPA_STAR_SALMON:CLUSTERGROUPS_IOI (tumor_eocrc-normal_eocrc)	COMPLETED	0	2026-03-23 15:28:26.265	2m 20s	0ms	45.3%	3 MB	5.4 MB	1.4 MB	1.3 KB
