sample,fastq_1,fastq_2,strandedness,condition
SRR27320679,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320679_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320679_2.fastq.gz,reverse,normal_locrc
SRR27320680,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320680_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320680_2.fastq.gz,reverse,tumor_locrc
SRR27320681,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320681_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320681_2.fastq.gz,reverse,normal_locrc
SRR27320682,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320682_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320682_2.fastq.gz,reverse,tumor_locrc
SRR27320683,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320683_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320683_2.fastq.gz,reverse,normal_locrc
SRR27320684,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320684_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320684_2.fastq.gz,reverse,tumor_locrc
SRR27320685,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320685_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320685_2.fastq.gz,reverse,normal_locrc
SRR27320686,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320686_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320686_2.fastq.gz,reverse,tumor_locrc
SRR27320687,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320687_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320687_2.fastq.gz,reverse,normal_locrc
SRR27320688,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320688_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320688_2.fastq.gz,reverse,tumor_locrc
