Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR17866819_2	27.867012108288257	8.910245958383486	5.000304609198831	3.3716865310783053	2.459546288376309	1.9368272382895761	1.5891043644786667	1.3415104584961794	1.1761113722434373	16.41088016216033	7.318013704588912	15.955580259640314	4.07319927705817	2.4741948851981124	0.11578278252112019	0.0
SRR17866819_2_val_2	29.018547833084448	8.871709524152514	4.9229379528904085	3.3635571574491143	2.410671465288417	1.9250484692450234	1.5658105136021412	1.3489171684626216	1.1363927842683241	16.223630470200053	7.233064224844784	15.626829886836111	3.930325283787168	2.330011935904217	0.09254532998454808	0.0
SRR17866820_1	22.016260946468364	8.002625710015849	4.680644109760749	3.210647268231003	2.429392627264881	1.877385134235984	1.610272626165913	1.4082167508506098	1.1822686350583982	14.330014665337826	5.127778096577411	12.493924913075261	6.169692223764435	12.389925326173826	2.3514847163673633	0.7194662506523779
SRR17866820_1_val_1	23.142902082239917	8.027976707774815	4.631007683655043	3.19194973325249	2.4119937277170984	1.8567167521430097	1.599144099064662	1.3880861986116337	1.1868342791963495	14.20873282928215	5.072075465944599	12.310688442270404	6.049955854432345	12.033064255564382	2.2516835163299986	0.637188372520887
SRR17866820_2	24.741355473320013	8.217172837918802	4.815612567877045	3.1337774616522873	2.3115694219575604	1.8918995732849497	1.5006515687414195	1.256673023733796	1.0538080284003901	13.499752398247367	4.917022492153341	12.698924540986326	6.387121572978494	11.771890747463	1.4780445779664233	0.3247237133186562
SRR17866820_2_val_2	25.927132715106293	8.21605486885861	4.764034605693594	3.079246116193889	2.2775650956522497	1.867293265120416	1.4920601232500557	1.2537017925209948	1.0339785825050927	13.34934800190222	4.889973688580208	12.542055166021024	6.230895020299834	11.336779144250974	1.4542801580811164	0.2856016559634092
SRR17866821_1	22.578720926549305	7.428150936657573	4.600789722325879	3.2881984808485263	2.4588995272650433	1.9523025948622172	1.6415340978803916	1.4306485485029516	1.2711643433536153	16.40925173802125	6.188172809540961	15.651016733386399	6.163608042547891	7.818298512652479	0.9414720634431715	0.1777709221622817
SRR17866821_1_val_1	24.165015548870855	7.463028080459042	4.610745543782531	3.2546676939985932	2.4453781656502653	1.9671065109633492	1.6190157664665825	1.4265292275810482	1.2428930780238356	16.153889131678362	6.082666779559724	15.296051455100176	5.855420162110421	7.4763449970189395	0.7683251101344699	0.1729227486018174
SRR17866821_2	20.726015618866132	7.828372902786317	4.783489876626422	3.3477238617894387	2.5522808020283017	2.0123425684039153	1.6927825258576592	1.441053326537469	1.1929213087862727	16.40434809621423	6.678061916671582	17.283590204750475	5.865868280522761	7.318210917154716	0.7387414211818115	0.13419637182255234
SRR17866821_2_val_2	21.5638451165262	7.843276000659237	4.780149325282115	3.32808368699773	2.53687629359325	1.9929825617402734	1.6974403592785947	1.4345239563673522	1.1629756143505228	16.328595057177267	6.607008247702027	16.99201738275125	5.813492261230441	7.1171567495323815	0.6681564555504034	0.1334209312609757
SRR17866822_1	23.448548371862906	7.911488157655391	4.6420573601661035	3.1704376243354004	2.4595287151598524	1.9194121848153736	1.5987669829825129	1.4165688074924199	1.165638827821608	15.589970404425626	5.820538562137556	12.491936431942602	4.851203909968093	9.701376340453995	2.582496903226931	1.230030415553664
SRR17866822_1_val_1	24.82093497633366	7.9376078550809765	4.607346101040879	3.1504994159495885	2.4083948968838857	1.9224546827950157	1.5869845982134152	1.376632587210163	1.154037926580883	15.468179035822317	5.731421475067488	12.212521954668388	4.703954306949174	9.293852916870717	2.4637819359954856	1.1613953345381982
SRR17866822_2	23.04487472870063	8.14543130811699	4.8594644731429835	3.3347427407975396	2.4408127567447475	1.9347991686768495	1.6043375123496633	1.3676821174090934	1.199897607107496	15.485809926189962	5.93704022360796	12.40817545715205	5.280139551685701	10.748942604943137	1.5827313046176394	0.6251185187574999
SRR17866822_2_val_2	23.978888110594806	8.129325690817717	4.820387553984381	3.3018815325320463	2.3997014948265187	1.9463378654801164	1.562971572503393	1.3426586204735043	1.1972623684218606	15.371948937604394	5.851935578733777	12.273902616597429	5.169904001079937	10.584043482180835	1.4482664628630137	0.6205841113062311
SRR27320655_1	43.753237012587086	10.201726950828624	5.159835417782456	3.247715353487711	2.2597898528395657	1.6678609711037542	1.3716532106810615	1.1326349628489985	0.9254659551547254	11.95639344727946	4.104161530697504	9.059276381047866	2.873228545273994	2.1960505732959055	0.09096983509115196	0.0
SRR27320655_1_val_1	45.316525427252444	10.065137550793688	5.0395308499369715	3.1999156992000746	2.2225099747286237	1.6177595086937704	1.3759323436188207	1.1114389811783216	0.9168991670175158	11.65352165353371	3.9834114825875204	8.715826984449652	2.659644379139209	2.0316444170086534	0.09030158086083963	0.0
SRR27320655_2	48.45006633085262	9.747376685294276	4.752474256705756	2.8567052685201517	1.9217893437090467	1.4830697434990496	1.1532131460440675	0.9666366749950308	0.8732361312206088	10.630609340047698	3.8775549947352874	9.025166696649281	2.7340321971271564	1.4995829215343708	0.028486269065628653	0.0
SRR27320655_2_val_2	50.26960331221556	9.522892547746805	4.586027001287434	2.791670273524623	1.8353655007532146	1.445020701825545	1.122466655961063	0.9365823702961646	0.8603678793910838	10.319178329488667	3.758206095157525	8.642802794958902	2.5341084068902524	1.347753028532782	0.027955101970350636	0.0
SRR27320656_1	37.959569811161955	11.069052015408896	5.840746434087017	3.75420233415844	2.6564274711124836	1.9889298272444178	1.6994183916406749	1.4041481892947727	1.1617854992855372	13.419096893276173	4.4963468329454415	9.19651982717196	2.9202814735812836	2.3438066250779306	0.04830714745461305	0.041361227098419495
SRR27320656_1_val_1	39.39370185473089	10.925689128544782	5.758992870123966	3.6878565289043914	2.5780395290866673	1.9811416149393826	1.635440469851275	1.406059734096558	1.1103251466930535	13.147935238773364	4.412672769626564	8.913081287490845	2.7940868909935412	2.16598614509704	0.04791623675347485	0.041074554294253406
SRR27320656_2	44.88712132380337	11.214248942821252	5.356990638627881	3.297998404160376	2.207146564114596	1.6918474392301985	1.2641772895905456	1.1031364621699757	0.8903949867811518	11.552346413383258	4.01904976402779	8.33285122144365	2.594132912494701	1.5623237875558518	0.026233849795467817	0.0
