"","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","IR","switchConsequencesGene"
"180967","isoComp_00002161","geneComp_00000144","ENST00000509819.1","ABLIM2","tumor_eocrc","normal_eocrc","ABLIM2","protein_coding","retained_intron",5.63007631348506,5.25233154525168,5.32982648335616,0.635618804492279,0.798717729962792,0.0210907163845882,NA,3.57721480297427,2.44326181095466,4.38496863540397,0.4019427758419,0.818329880116668,0.841151663791788,NA,0.623111627906977,0.468319047619048,0.752523809523809,0.284204761904762,0.104322554896821,0.104322554896821,NA,0,NA
"180973","isoComp_00002167","geneComp_00000144","ENST00000676532.1","ABLIM2","tumor_eocrc","normal_eocrc","ABLIM2","protein_coding","protein_coding",5.63007631348506,5.25233154525168,5.32982648335616,0.635618804492279,0.798717729962792,0.0210907163845882,NA,0.10289257247354,0.161255616062836,0.0286608190529085,0.0442360259194117,0.0116128514183592,-2.14720719244426,NA,0.0176860465116279,0.0315,0.00752380952380952,-0.0239761904761905,0.952835980250923,0.104322554896821,FALSE,0,NA
"244501","isoComp_00003954","geneComp_00000249","ENST00000354655.9","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","protein_coding",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,26.0296836556737,11.2899278881599,27.1960739624627,4.87852030076951,5.1721307243889,1.26761521411236,NA,0.175012790697674,0.0681666666666667,0.169871428571429,0.101704761904762,0.982031399004734,0.8406220261289,FALSE,0,NA
"244502","isoComp_00003955","geneComp_00000249","ENST00000356116.6","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","protein_coding",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,42.323420768869,39.554488329062,28.8125538111835,5.34188773970202,3.05994806811912,-0.45700792896491,NA,0.322770930232558,0.340847619047619,0.205052380952381,-0.135795238095238,0.8406220261289,0.8406220261289,FALSE,0,NA
"244505","isoComp_00003958","geneComp_00000249","ENST00000467340.1","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","retained_intron",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,4.86544593708937,4.11150543906178,4.32569855310785,0.798069026358892,0.767960899527632,0.0730930555679429,NA,0.0362697674418605,0.033447619047619,0.0282809523809524,-0.00516666666666666,0.999823392026522,0.8406220261289,NA,0,NA
"244507","isoComp_00003960","geneComp_00000249","ENST00000496328.1","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","retained_intron",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,6.05010830248712,6.19368236947924,5.76219416648117,0.757678619542896,0.856611513567474,-0.104004991443074,NA,0.0494616279069767,0.0585047619047619,0.0460190476190476,-0.0124857142857143,0.999823392026522,0.8406220261289,NA,0,NA
"244508","isoComp_00003961","geneComp_00000249","ENST00000861349.1","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","protein_coding",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,21.5845045929751,22.5265160690724,33.2551245138854,3.84139965868876,6.08047547430391,0.561745928024584,NA,0.14776511627907,0.1786,0.206285714285714,0.0276857142857143,0.998788637329574,0.8406220261289,FALSE,0,NA
"244511","isoComp_00003964","geneComp_00000249","ENST00000861352.1","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","protein_coding",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,2.83322005341014,3.28277531456814,6.25101259423609,0.877394689635891,0.927776991499528,0.92709193152966,NA,0.0213720930232558,0.0277190476190476,0.0435142857142857,0.0157952380952381,0.998788637329574,0.8406220261289,FALSE,0,NA
"244513","isoComp_00003966","geneComp_00000249","ENST00000861354.1","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","protein_coding",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,2.45663088845609,2.80026242904392,3.62598031947681,0.59273589351073,0.553521879502933,0.371639531597792,NA,0.0182709302325581,0.0229952380952381,0.0245952380952381,0.0016,0.999823392026522,0.8406220261289,FALSE,0,NA
"244518","isoComp_00003971","geneComp_00000249","ENST00000861359.1","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","protein_coding",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,1.34997156661811,0.835200373837837,1.06259257325749,0.128896842907284,0.178448416555432,0.34373685863886,NA,0.0101267441860465,0.00700952380952381,0.0076952380952381,0.000685714285714286,0.999823392026522,0.8406220261289,FALSE,0,NA
