task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
285	55/050619	5779721	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866842)	COMPLETED	0	2026-03-19 23:07:40.085	1m 44s	1m 13s	98.2%	10.6 MB	14.1 MB	2.4 GB	70.9 MB
286	06/c76479	5779722	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866836)	COMPLETED	0	2026-03-19 23:07:45.074	1m 39s	1m 13s	98.2%	10.8 MB	14.3 MB	2.5 GB	69.1 MB
287	da/187024	5779723	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866820)	COMPLETED	0	2026-03-19 23:07:50.089	1m 39s	1m 17s	98.2%	11 MB	14.7 MB	2.7 GB	69.2 MB
288	b8/e51f83	5779724	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866825)	COMPLETED	0	2026-03-19 23:07:50.108	1m 39s	1m 17s	98.3%	10.6 MB	14.4 MB	2.6 GB	71.4 MB
270	e9/0d1688	5779684	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866822)	COMPLETED	0	2026-03-19 23:03:24.123	6m 40s	3m 19s	38.2%	18.2 GB	21.3 GB	17 GB	2.1 MB
115	e2/f4c54a	5779268	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866823)	COMPLETED	0	2026-03-19 22:37:45.322	32m 19s	30m 43s	149.4%	737.6 MB	4.9 GB	52.6 GB	50.1 GB
119	8b/405f5d	5779275	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866824)	COMPLETED	0	2026-03-19 22:37:55.324	32m 24s	30m 55s	146.0%	708.2 MB	4.9 GB	51.8 GB	49.4 GB
289	9c/3c1c0c	5779728	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866827)	COMPLETED	0	2026-03-19 23:07:55.114	2m 39s	2m 20s	59.5%	18.1 GB	21.3 GB	17 GB	2.1 MB
294	ea/9dd845	5779736	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR17866832)	COMPLETED	0	2026-03-19 23:08:28.518	2m 26s	1m 15s	99.0%	218.7 MB	222.1 MB	2.9 GB	3.3 KB
295	b2/3e7ade	5779739	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR17866829)	COMPLETED	0	2026-03-19 23:08:35.105	2m 19s	1m 17s	99.2%	218.8 MB	222.1 MB	2.9 GB	3.3 KB
300	b6/4c43e5	5779747	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866826)	COMPLETED	0	2026-03-19 23:09:25.088	1m 29s	1m 18s	98.1%	11.1 MB	14.8 MB	2.8 GB	68.9 MB
116	3c/6114d8	5779266	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866831)	COMPLETED	0	2026-03-19 22:37:45.278	33m 9s	31m 27s	149.6%	708.5 MB	4.9 GB	54.3 GB	51.8 GB
299	4e/1c9162	5779746	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866837)	COMPLETED	0	2026-03-19 23:09:20.074	1m 39s	1m 22s	98.0%	11 MB	14.6 MB	2.7 GB	69.5 MB
302	71/038096	5779749	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866836)	COMPLETED	0	2026-03-19 23:09:25.119	2m 24s	34s	220.5%	18.2 GB	21.3 GB	17 GB	2.1 MB
301	ef/265878	5779748	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866842)	COMPLETED	0	2026-03-19 23:09:25.104	2m 24s	35s	209.2%	18.1 GB	21.3 GB	17 GB	2.1 MB
